Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
Bella & Brava Restaurant,https://bellabravarestaurant.com/,353719306727,-8.6056089,54.1710165999999,Sligo,Coolaney,Ireland,"Food and Drink,Restaurant,Local Produce"
The Adventure Islands,https://www.theadventureisland.com/,353862518252,-9.6308032,53.8278441,Mayo,Westport,Ireland,"Kayaking,Activity Operator,Walking,Day Tour,Tour,Boat"
Trad on the Prom,https://www.tradontheprom.com/,35391582860,-9.08232349999999,53.2590363,Galway,,Ireland,"Traditionally Irish,Venue,Music"
Kilclooney Wood,http://www.coillte.ie,,-7.42648426141386,52.2034472156374,Waterford,Kilmacthomas,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
The Ring of Kerry Cycle Route,,+353(0)646631633,-9.75043931715399,52.1670833699325,Kerry,,Republic of Ireland,Cycling
Sheep’s Head Cycle Route,http://www.thesheepsheadway.ie/index.cfm/page/cyclingroute,+353(0)2767136,-9.70330154820503,51.5814110375101,Cork,Bantry,Republic of Ireland,Cycling
Slish Wood,http://www.irishtrails.ie/trails.aspx?c=Sligo&t=-1&l=-1&g=All&f=All,353719161201,-8.47705702139608,54.2687565564578,Sligo,Sligo Town,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk"
Spink Loop,http://www.npws.ie,+353(0)40469117,-6.32762650277776,53.0093653115907,Wicklow,Wicklow Town,Republic of Ireland,Walking
Fenit Cycleway,,+353(0)667121288,-9.8595306147581,52.2797083924763,Kerry,Fenit,Republic of Ireland,Cycling
The Kerry Head Cycleway,,+353(0)667121288,-9.706157,52.26677,Kerry,Tralee,Republic of Ireland,Cycling
Glencolmcille Loop,https://www.govisitdonegal.com/things-to-do/activities/glencolmcille-tower-loop,,-8.71477570036982,54.6997030560807,Donegal,Glencolmcille,Republic of Ireland,"Walking,Activity Operator"
Derrynane Coastal Circuit,,+353(0)646631633,-10.1503778742434,51.7671496543273,Kerry,Derrynane,Republic of Ireland,Walking
Great Blasket Island Looped Walk,,+353(0)669151188,-10.5143759445302,52.1070838806635,Kerry,,Republic of Ireland,Walking
Inis Eoghain Cycleway,http://www.visitinishowen.com,+353(0)9362600,-7.0426825728339,55.1879835413439,Donegal,Moville,Republic of Ireland,Cycling
The Rougey Walk,,,-8.277934,54.4791416,Donegal,Bundoran,Ireland,Walking
The West End Cliff Walk,,+353(0)749121160,-8.27454055447874,54.4796245305347,Donegal,Bundoran,Republic of Ireland,Walking
Bloody Foreland Walk,http://www.govisitdonegal.com/do/walking-hiking/bloody-foreland-walk/,+353(0)749121160,-8.1659,55.0926,Donegal,The Rosses,Republic of Ireland,Walking
Lough Derg Walk,,+353(0)749121160,-7.82668093813879,54.54826204258,Donegal,Pettigo,Republic of Ireland,Walking
Knockbarron Loop,,,-7.72219702318858,53.0958285249507,Offaly,,Ireland,Walking
Derroura Mountain Bike Trail,https://www.sportireland.ie/outdoors/cycling-off-road/trails/derroura-mountain-bike-trail,,-9.450517,53.4408569999999,Galway,,Ireland,Cycling
North West Trail Cycling Trail,,,-8.48080712641232,54.2713073010575,Sligo,,Ireland,Cycling
Mount Gable Walk,,+353(0)949548031,-9.36308848622632,53.5439416227255,Galway,,Republic of Ireland,Walking
Doolin Cycle Hub,https://www.sportireland.ie/outdoors/cycling-on-road/trails?county=43&grade=418&length=All#list,,-9.37635810280161,53.0168187196426,Clare,,Ireland,Cycling
Clifden Cycle Hub,,+353(0)9521163,-10.01935,53.488951,Galway,Clifden,Republic of Ireland,Cycling
Mullingar Cycle Hub,,,-7.3373369827831,53.5253235421963,Westmeath,,Ireland,Cycling
Wexford Cycle Routes,http://www.irishtrails.ie,+353(0)539123111,-6.46425412430914,52.3414497581374,Wexford,Wexford Town,Republic of Ireland,Cycling
Ballyshannon Cycle Hub,,,-8.16074568267393,54.5011369852517,Donegal,Ballyshannon,Republic of Ireland,Cycling
Black Head Looped Walk,,,-9.28251865275536,53.1134074848904,Clare,Fanore,Republic of Ireland,Walking
Birr Cycle Hub,,,-7.91027118315556,53.0957642373653,Offaly,,Ireland,Cycling
Glenafelly Eco Walk,http://www.coillteoutdoors.ie,,-7.67998028300633,53.0684475210659,Offaly,,Ireland,"Walking,Activity Operator,Forest Park,Park and Forest Walk"
Mervue Slí,http://www.irishheart.ie/sli,,-9.05507663666992,53.271599515534,Galway,Galway City,Ireland,Walking
Milltown Slí,http://www.irishheart.ie/sli,,-8.89895061433105,53.6139673755756,Galway,Milltown,Ireland,Walking
Moneygall Kearney Loops,,,-7.95626999943224,52.87985103712,Offaly,,Ireland,Cycling
Curragh Chase - Glenisca Family Cycling Trail,,,-8.74715308562702,52.6040803926419,Limerick,Kilcornan,Ireland,Cycling
Curragh Chase - Curragh Trail,,,-8.74715308562702,52.6040803926419,Limerick,Kilcornan,Ireland,Cycling
Ballinastoe Mountain Bike Trail,http://www.irishtrails.ie/Trail/Ballinastoe-Mountain-Bike-Trail/311/,,-6.21388196574741,53.1103925330322,Wicklow,Roundwood,Ireland,Cycling
Portumna Forest Park - Bonaveen Cycling Trail,https://www.sportireland.ie/outdoors/cycling-off-road/trails/portumna-forest-park-bonaveen-cycling-trail?county=45&grade=All&length=All#list,,-8.2452553,53.0905196,Galway,Portumna,Ireland,Cycling
Fastnet Trails - The Ballydehob Linear Walk,http://www.ballydehob.ie,+353(0)2837640,-9.26519027371728,51.548848016856,Cork,Skibbereen,Ireland,Walking
East Kilkenny Cycle Loop,http://www.irishtrails.ie/Trail/East-Kilkenny-Cycle-Route/1292/,,-7.25060024693527,52.6504273307544,Kilkenny,Kilkenny City,Ireland,Cycling
