Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
Valentia Island - Kerry,https://www.discoverireland.ie/kerry,,-10.3624787374577,51.9057706613253,Kerry,,Republic of Ireland,"Restaurant,Craft,Shopping,Bird Watching,Nature and Wildlife,Climbing,Activity Operator,Cruising,Cycling,Fishing,Angling,Gardening,Horse Riding,Equestrian,Kayaking,Kitesurfing,Windsurfing,Photography,Learning,Sailing,Swimming,Swimming Pools and Water Park,Venue,Walking,Historic Houses and Castle,Island,Offshore Island,Natural Landscape,Cafe,Food and Drink,Local Produce,Pubs and Bar,Seafood"
Dun na Rí Forest Park,http://www.coillte.ie/site/dun-a-ri-forest-park/,353494331942,-6.79266149999999,53.9189778,Cavan,Kingscourt,Ireland,"Walking,Forest Park,Park and Forest Walk,National Park,National and Forest Park,Public Park,Nature and Wildlife"
Piltown - Mountain Grove Loop,http://www.trailkilkenny.ie,+353(0)567752111,-7.34111359480207,52.3537317834319,Kilkenny,,Ireland,"Walking,Natural Landscape"
Jenkinstown Wood Loop,http://www.irishtrails.ie/Trail/Jenkinstown-Wood---Jenkinstown-Wood-loop/125/,,-7.28448348388166,52.7311695788291,Kilkenny,Kilkenny City,Ireland,"Walking,Natural Landscape"
Slí Cholmcille,http://www.irishtrails.ie/trail/Sli-Cholmcille/13/,+353(0)749721148,-8.71477570036982,54.6997030560807,Donegal,Glencolmcille,Republic of Ireland,"Walking,Natural Landscape"
Slí Na Finne,,+353(0)749721148,-8.1162042430152,54.8694215846037,Donegal,,Republic of Ireland,"Walking,Natural Landscape"
Slí na Rosann,https://www.govisitdonegal.com/things-to-do/activities/sli-na-rossan-sli-dhun-na-ngall,+353(0)749721148,-8.3633753917632,54.9517634921175,Donegal,,Republic of Ireland,"Walking,Natural Landscape"
Durrow Leafy Loops - Leafy loop,https://www.sportireland.ie/outdoors/walking/trails/durrow-leafy-loops-leafy-loop?county=35&grade=All&length=All#list,,-7.39579761602658,52.8468523376508,Laois,,Ireland,"Walking,Natural Landscape"
O'Gorman's Lane Loop Walk,http://www.irishtrails.ie/Trail/O-Gormans-Lane-/583/,,-7.18228840808342,52.5923527730017,Kilkenny,Bennettsbridge,Ireland,"Walking,Natural Landscape"
Monicknew Trails,http://www.irishtrails.ie/Trail/Monicknew---Valley-Walk/256/,,-7.54632895409872,53.0759841249754,Laois,Clonaslee,Ireland,"Walking,Natural Landscape"
Newcastle Woods,https://www.longford.ie/en/visit/trails/newcastle-woodland-trail/,353433343509,-7.7261067,53.5621238,Longford,,Ireland,"Walking,Natural Landscape"
Durrow Leafy Loops -Dunmore Woods Loop,https://www.sportireland.ie/outdoors/walking/trails/durrow-leafy-loops-dunmore-woods-loop,,-7.39442432501095,52.8476817254982,Laois,,Ireland,"Walking,Natural Landscape"
Abbeyleix Loops - Killamuck Bog,http://www.irishtrails.ie/Trail/Abbeyleix-Loops---Killamuck-Bog-loop/623/,,-7.35307920316802,52.9068305299692,Laois,Abbeyleix,Ireland,"Walking,Natural Landscape"
Rinn Duin Castle Loop,https://www.sportireland.ie/outdoors/walking/trails/rinn-duin-castle-loop?county=53&grade=402&length=All#list,+353(0)906630252,-8.00432573022647,53.544196661934,Roscommon,,Republic of Ireland,"Walking,Castle,Historic Houses and Castle,Ruins"
Glenbarrow Eco Walk,http://slievebloom.ie/walking/glenbarrow,,-7.52521460473349,53.149038742129,Laois,,Ireland,"Walking,Natural Landscape"
Dunbrody Abbey and Visitor Centre,http://www.dunbrodyabbey.com,353862759149,-6.95523,52.282115,Wexford,Campile,Ireland,"Craft,Shopping,Walking,Historic Houses and Castle,Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery,Museums and Attraction,Cafe,Food and Drink,Activity Operator,Tour"
Hyde Bridge Gallery,https://www.yeatssociety.com/,353719142693,-8.474933,54.272077,Sligo,Sligo Town,Republic of Ireland,"Craft,Shopping,Art Gallery"
Monaghan County Museum,https://monaghan.ie/museum/,3534782928,-6.9724846,54.2478562,Monaghan,,Ireland,"Historic Houses and Castle,Museums and Attraction,Tour"
Knock Museum,https://www.knockshrine.ie/key-places-to-visit/knock-museum/,353949388100,-8.91715329999999,53.7900043,Mayo,Knock,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Museums and Attraction,Cafe,Food and Drink"
Michael J Quill Centre,http://www.historic-ireland.com/places/778.html,353646685511,-9.46143,51.902656,Kerry,Kilgarvan,Republic of Ireland,Museums and Attraction
Donegal Railway Heritage Centre,http://donegalrailway.com/,353749722655,-8.10802239999999,54.656847,Donegal,Milltown,Ireland,"Transport,Activity Operator,Museums and Attraction,Tour,Coach,Road"
Garter Lane Art Gallery,http://www.garterlane.ie,+353(0)51855038,-7.116447,52.262574,Waterford,Waterford City,Republic of Ireland,"Learning,Movies,Cinema,Venue,Activity Operator,Art Gallery,Music"
